judul,asal,person,sentence
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Anand,"Disepakati pula bahwa ananda akan membawa dan memperlihatkan cincin dan batu keemasan ini, bila ananda datang meminang> Ananda akan diterima di istana bila barang-barang ini ananda perhatikan"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,"Jangan ceritakan rahasianya kepada siapapun, nanti ananda dibunuh dan dirampok orang dalam perjalanan"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,"Keistimewaaannya ialah bahwa cincin itu cocok dipakai pada semua jari, siapa pun pemakainya"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,Jadi batu itu sangat berguna bagi orang yang bekerja keras atau melakukan perjalanan jauh
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Nagai Sori,"Ia harus ""melihat langkah"" Nagai Sori artinya menentukan hari dan waktu yang paling baik untuk memulai perjalanannya"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Nagai Sori,Yang akan mengiringkan Nagai Sori ialah beberapa pembesar negera dan anggota keluarga serta budak-budak
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,SIPAKPAK KUNAL,"Seorang budak pilihan, SIPAKPAK KUNAL, yang akan menjadi pengawal, serta seorang penunjuk jalan melengkapi rombongan"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,"Sesudah segala persiapan rampung, pada hari dan waktu yang ditetapkan berangkatlah rombongan dari istana"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Raja Haroharo,Raja Haroharo mengantarkan rombongan sampai di batas kerajaannya
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,Terkadang mereka melalui hutan belantara dan mengikuti jalan-jalan setapak
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Raja,"Setibanya dekat Pulau Raja, rombongan bermalam dalam perahu di pinggir sungai"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Siapakah Kunal,"Malam itu Siapakah Kunal, budak pengawal rombongan, tidak bisa tidur"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,"Ia ingin berontak, supaya tidak trus-menerus menjadi budak"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,Ia ingin merdeka dan menjadi raja
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sahangmataniari,Leluhurnya ialah Sahangmataniari
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Haroharo,Ia menceritakan bahwa antara daerah kekuasaannya dan kerajaan Haroharo terjadi sengketa yang menimbulkan peperangan
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,go,Anggota-anggota keluarga ayah sebagian besar menyingkir ke arah Timur
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Aritonang,Tinggal ayahku sendirian dibantu oleh marga Aritonang melawan musuh yang kuat
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Ayah,Ayah harus berjuang untuk mempertahankan haknya
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,Namun ia harus menyerah menghadapi musuh yang lebih kuat dan lebih besar jumlahnya
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,"Ia ditangkap, lalu dijadikan budak"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,yi,Musuh-musuh ayah ingin menyembunyikan sebabnya ayah menjadi budak
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,"""
""Alangkah kejamnya!"" teriak Sipakpak Kunal tiba-tiba sambl meninju pendayungnya dengan marah"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,"Seluruh rombongan tersentak bangun dan saling bertanya, ""Bunyi apa itu?""
""Aku bermimpi berkelahi dengan harimau,"" jawab Sipakpak Kunal menjelaska, sambil berbaring lagi"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,"Sesudah yang lain-lainntertidur kembali, Sipakpak Kunal meneruskan lamunannya dan berkata pada dirinya sendiri"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Nagai Sori,"""
""Apa sebenarnya perbedsaan antara diriku dengan Nagai Sori? Tidak ada, sedikit pun tidak ada! Hanya dalam soal pendidikan"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,"Aku diajar menjemur dan menumbuk padi, memasak, memelihara kuda, memncing dan harus selalu hormat dan patuh"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,Hanya karena ayahku kalah perang aku sekarang menjadi budak
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,Akulah sekarang yang menjadi anak raja
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Raja Margolang,Aku akan memakai pakaian Nagai Sori dan meminang puteri Raja Margolang
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,"Tapi siapa yang mau menjadi saksi, bila akau harus buktikan bahwa aku Nagai Sori? Apalah Raja Margolang akan percaya?""
""Alangkah hebatnya rencanaku!""
Tiba-tiba Sipakpak Kunal tertawa terbahak-bahak"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,go,Tawanya yang keras membangunkan semua anggota rombongan
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,"Masih setengah mengantuk mereka memandang Sipakpak Kunal dan bertanya, ""Teriakan apa itu?""
""Aku melihat ikan besar yang mau menyerang perahu kita"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Nagai Soi,"Kupukul dengan pendayung ini sambil berteriak keras-keras, lalu ia menghilang!"" ""Untunglah kau waspada"" kata Nagai Soi"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,go,"Karena belum puas tidur, semua anggota rombongan terlena lagi"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,Menjelang fajar Sipakpak Kunal melepaskan tali penambat perahu dan perahu itu dikayuhnya ketengah sungai
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,go,Anatara seperempat jam anggota rombongan yang masih tidur nyenyak itu dilemparkannya seorang demi seorang ke dalam air
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,go,"Untunglah semua anggota rombongan pandai berenang, sehingga dapat mencapai daratan dengan selamat"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Nagai Sori,"Ketika matahari terbit, Nagai Sori terbangun"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,"Melihat Sipakpak kUnal sendirian ia bertanya, ""Mana kawan-kawan kita?""
""Sudah kelemparakan kedalam air!"" jawab Sipakpak Kunal singkat"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,"Lalu diletkakannya dua belah pedang tajam dan berkilat antara mereka sambil berkata,
""Sekarang kita harus berduel memperebutkan puteri!""
""Apa? Berduel? Memperebutkan puteri? Kau tidak ada urusan dengan puteri"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,"Ia anak calon mertuaku!""
""Diam!"" teriak Sipakpak Kunal"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,"""Jangan bicara juga, nanti kupulaskan batang lehermu! Sebenarnya kau dapat kubunuh selagi kau tidur tadi, tapi aku tidak mau"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Nagai Sori,"Nyawamu atau nyawaku! Dan puteri taruhannya!""
""Beri aku waktu berpikir,"" jawab Nagai Sori sambuil menyapu-nyapu matanya"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,"""Aku tidak takut perang tanding dengan kau, sekalipun badanmu lebih besar, kau lebih sehat dan lebih pandai berkelahi"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,Aku lebih suka mati sebagai ksatria daripada begitu saja menyerah
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,kemudian Sipakpak Kunal mulai menceritakan apa yang dipikirkannya malam itu
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Nagai Sori,"Mendengar kisah budaknya, tahulah Nagai Sori bahwa tidak ada yang dapat menghalanginya menjalankan rencananya yang nekat-nekatan"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,mata Sipakpak Kunal memancarkan sinar fanatik yang belum pernah dilihatnya sebelumnya
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,Lalu ia berkata dengan nada ksatria
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,"""Baiklah, kalau tekadmu sudah bulat, aku bersumpah akan membantumu melaksanakan cita-citamu"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,Kau menjadi Nagai Sori dan aku Sipakpak Kunal
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Raja Margolang,"Kau 'kan tahu, puteri Raja Margolang hanya kulihat ketika aku masih anakpanak"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,Jadi tak mungkin aku cinta padanya
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,Dan kami pun belum pernah benar-benar bertemu sebagaimana lazimnya pada permulaan pertaringan
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,"Kau rupanya cinta padanya, megapa aku akan menghalang-halangimu untuk menjadikannya isterimu! Tapi aku sangat menyayangkan bahwa kawan-kawan kita kau perlakukan begitu kejam, hanya supaya mereka tidak dapat menjadi saksi dari kejahatanmu"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,"Sekiranya kau lebih dulu mempercayakan rencanamu kepadaku, kekejaman ini tak perlu kau lakukan"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Nagai Sori,"Nagai Sori yang sekarang berperan sebagai budak, harus mendayung perahu"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,"Terpaksalah Sipakpak Kunal, ""anak raja"" yang baru menjelma itu, mengambil pendayung untuk mengayuh perahu ke tujuannya"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Raja Margolang,"Sesampainya di kerajaan Raja Margolang, mereka tidak berhenti di dermaga yang biasa disinggahi"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Raja Margolang,"Mereka khawatir rakyat Raja Margolang akan heran melihat seorang yang berpakaian ""anak raja"" mendayaung perahu, sedang budaknya duduk berpangku tangan"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,yi,Sebab itu mereka mencari tempat yang sunyi untuk uturun ke darat
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Nagai Sori,"Seluruh badan Nagai Sori dilumuri semacam getah kayu, kemudian ditaburi arang"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Hab,Sekarang rupanya sama hitamnya dengan seorang Habsyi atau Negro
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Raja Margolang,Menjelang tengah hari keduanya sampai di istana Raja Margolang
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Raja Margolang,Tidak lama kemudian Raja Margolang dan Permaisurinya berkenan menerima mereka
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Raja Margolang,"Sesudah mengucapkan selamat datang, Raja Margolang berkata"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Nagai Sori,"""Ananda Nagai Sori, kami sebenarnya sudah lama menantikan kedatangan anda"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,"""
""Hasil panen kami tahun ini luar biasa banyaknya, mertuaku,"" demikian jawaban Sipakpak Kunal yang sekaranag berlagak sebagai Nagai Sori"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,"""Lama kami baru selesai dengan menunai, menjemur dan menumbuk padi"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,"""
Nagai Sori yang sekarang berperan sebagai Sipakpak Kunal, duduk dengan takzim di belakang ""tuannya"" Ketika didengarnya jawaban yang tidak pada tempatnya itu, ia pun bersiap-siap mohon bicara dengan lebih dulu melakukan sembah"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Syah Alam,"""
""Tuanku Syah Alam, ampun beribu-ribu ampun! Mohon patik mengucapkan sepatah dua kata"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Raja Margolang,"""
""Bicaralah!"" ujar Raja Margolang yang dalam hatinya heran melihat sikap budak yang beradat itu"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Permaisuri Haroharo,"""Tuanku, ampun beribu-ribu ampun! Lambatnya kedatangan menantu Tuanku disebabkan oleh lamanya adinda Tuanku, Permaisuri Haroharo, gerin(sakit)"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,""" ""Bagus! Bagus!"" teriak Sipakpak Kunal yang berlagak sebagai Nagai Sori"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,"""Budak ini, mertuaku, lebih banyak pengakamannya dan lebih pintar bicara daripada aku"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,"Namanya Sipakpak Kunal!""
Tidak lama kemudian kepala rumah tangga istana memberitahukan bahwa santapan siang sudah tersedia"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Permaisuri,"Raja, Permaisuri, tamunya dan beberapa orang menteri berangkat ke ruang makan untuk santap siang bersama"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Permaisuri Haroharo,"Sewaktu santapan berlangsung, Raja Margolang mendengarkan laporan tentang kesehatan adiknya, Permaisuri Haroharo dan keadaan dalam negeri kerajaan iparnya"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Raja,"Selesai santap, sidang kerajaan diteruskan di balai ruang, dihadiri oleh semua kerabat Raja dan para pembesar kerajaan"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Nagai Sori palsu,"""Coba beriathukan,"" demikian sabda Baginda kepada Nagai Sori palsu alias Sipakpak Kunal, ""apa sebenarnya hajat ananda datang kesini"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakapak Kunal,"""
""Mertuaku,"" jawab Sipakapak Kunal, ""aku dikirim ibuku untuk meminang anak tuanku yang sekarang sudah dewasa"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,"""
Para hadirin berpandangan dengan heran mendengar pilihan kata-kata yang tidak sesuai dengan adat- istiadat kerajaan itu"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Raja Haroharo,Namun Raja Haroharo seolah-olah tidak peduli
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Baginda Raja Haroharo,"""Apakah Baginda Raja Haroharo tidak emmpunyai pembesar-pembesar kerajaan yang patut diutus untuk menyampaikan hasrat Baginda kepada kami, sesuai dengan adat-istiadat lama? Mengapa ananda sendiri yang harus menyampaikannya?""
Nagai Sori yang sejak tadi duduk dengan tak lazimnya dibelakang ""tuannya,""sekarang mohon bicara karena khawatir ""tuannya"" akan salah bicara lagi"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Syah Alam,"""Tuanku Syah Alam, ampun bdribu-ribu ampun"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Haroharo,""" katanya sesudah melakukan sembah sebagaimana mestinya, ""dalam rombongan ananda sebenarnya ikut 7 orang pembesar kerajaan Haroharo"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,"""
""Pintar sekali kau bicara!"" kata Sipakpak Kunal"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Raja margolang,"""
""Baiklah,"" jawab Raja margolang dengan tenang, sekalipun dalam hatinya jengkel mendengar kata-kata calon menantunya yang tak beradat itu"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,Menteri- menteriku akan mengadakan penyelidikan lebih jauh
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,""" Kata-kata ini diucapkannya sambul memandang kekanan dan k ekiri kepada menteri-menteri yang bersangkutan"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,"Mendengar titah baginda, Sipakpak Kunal mulai menyingsingkan lengan bajunya seolah-olah ingin memperlihatkan otot-ototnya yang kuat dan kesiap sediaannya untuk bertempur"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,Lalu ia berkata dengan nada keras
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,"""Kalau tunanganku cinta padaku, aku sekarang juga mau kawin"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Nagai Sori,"""Tuanku Syah Alam,"" kata Nagai Sori yang sebenarnya, sesudaj menyembah selayaknya, ""ampun beribu ampnu! Menurut adinda Tuanku yang mulai, kedatangan ananda Nagai Sori hanyalah untuk memnuhui suatu persetujuan suci yang diadakan, ketika kedua ananda masih kecil"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,"Cincin emas dan batu keemasan yang disepakati akan diserahkan sendiri oleh adinda Tuanku, bila adinda Tuanku sudah pulih benar kesehatannya"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,"""
""Benar!"" teriak Sipakpak Kunal sambul menunjuk ""budaknya"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,yi,"Ia langsung berdiri dan menuju ke tempat kediaman tuan puteri yang disertai oleh dayang-dayang, penyanyi=penyanyi dan budak-budk perempuan"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Permaisuri Raja margolang,"Sesudah Sipakpak Kunal berangkat, ruang rapat sunyi- senyap, sampai akhirnya Permaisuri Raja margolang memecah kesunyian dengan ucapannya"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,"""Menantu Tuanku serupa benar dengan adinda Tuanku, ibundanya"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,"bahkan pada kunjungan nya yang terakhir beberapa orang pegawai istana dipukulinya sampai luka-luka, sebab mereka terlampau lamban menurut pendapatnya"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Raja haroharo,"""
Dewan Penasihat Raja haroharo selanjutnya menasihati Baginda untuk secepatnya melangsungkan perkawinan itu"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,"Cinta calon mempelai laki-laki tampaknya begitu berkobar-kobar, sehingga ada kemungkinan ia membuat onar, bila keinginannya tidak segera dipenuhi"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Raja Haroharo,Raja Haroharo mendengarkan nasihat itu
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,"sesuadah hari perkawinan ditetapkan, dikirimlah undangan kepada raja-raja sekitarnya"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,"Pesta perkawinan ""anak raja"" palsu Sipakpak Kunal dimeriahkan oleh orkes Batak maupun Melayu, sedang beberapa kelompok ronggeng tidak ketinggalan menghangatkan suasana"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Raja Haroharo,"Hanya Raja Haroharo dan Permaisurinya yang berhalangan hadir pada pesta ""puteranya"" itu"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,"Tidak lama sesudah Sipakpak Kunal dan pyuteri Raja dikawinkan, terjadilah hal-hal yang aneh"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,"Bila Raja margolang dan menantunya berikut budaknya pergi berburu atau ke sungai untuk emnangkap ikan, sering Sipakpak Kunal mengatakan bahwa ia ingin membuat alu dari batang-batang kayu kecil yang tumbu dimana-mana"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,"Ia sanggup menumbuk padi sebanyak 2 sampai 3 karung sehari, ceritanya"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,"Bila dilihatnya pohon enau, ia ingin memanjatnya dan membuatkan nira untuk dihadiahkan kepada ibu mertuanya"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,raja Margolang,Suatu hari raja Margolang sangat kehausan gdalan perjalanan
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,Ia ingin minum air kelapa muda yang kelihatan bergantungan pada batangnya
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Baginda,Baginda memerintahkan budak menantunya untuk menurunkah beberapa buah kelapa
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Nagai Sori,"Tetapu karena Nagai Sori tidak pernah memanjat batang kelapa, maka sesudah dicobanya naik, ia terpaksa menghentikan usahanya"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,Maka dengan sigap Sipakpak Kunal memanjat beberapa batang kelapa dan memilih buah-buah yang baik untuk minuman Baginda
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,"Bila Sipakpak Kunal melihatsarang lebah, ia menyatakan ingin kembali malam hari ke tempat itu untuk mengumpulkan madu"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,"Selain dari itu Sipakpak Kunal sering melagak kepada Baginda, bahwa ia sangat berpengalaman menangkap ikan, baik dengan pancing maupun dengan jala"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Raja Margolang,Raja Margolang tentu saja heran mendengar bualan menantunya
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Nagai Sori,Sering diperingatkannya budak yang berlagak sebagai Nagai Sori itu untuk tidak lagi membagga-banggakan pekerjaan-pekerjaan itu
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,"Dalam kerajaannya, katanya, pekerjaan begitu adalah pekerjaan rakyat jelata"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,"Setiap kali Baginda memperingatkan menantunya, sadarlah Sipakpak Kunal bahwa ia bukannya lagi seorang budak, tetapi ""anak raja"", menantu RajaMargolang"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,"Jika Sipakpak Kunal sering membangga-banggakan prestasinya, Nagai Sori sebaliknya dengan merendah mengemukakan hal-hal yang penting bagi kemajuan rakyat Pulau Raja"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,"Dikatakannya bahwa ia ada melihat rumah-rumah rakyat yang tidak berdinding, sedang disana - sini nbanyak tumbuh pohon-pohon kayu besar yang dapat dimanfaatkan untuk kepentingan rakyat"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,"Daerah -daerah gersang yang dilihatnya disana-sini dapat diubah menjadi tanah perladangan atau persawahan yang baik, bila sungai-sungai fi dekatnya dibendung dan airnya disalurkan ke tempat-tempat itu"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Raja Margolang,Tetapi Raja Margolang menghentikan pembicaraan Nagai Sori
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Raja,Seorang budak tidaklah pantas mengemukakan hal-hal seperti itu kepada Raja
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Permaisuri,"Namun kepada Permaisurinya Baginda menceritakan apa-apa yang diusulkan budak menantunya, sehingga sangat mengherankannya, justru karena datangnya dari seorang budak"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Permaisuri,"Sebaliknya pula Permaisuri menceritakan, bahwa bila budak menantunya itu menjaga padi, tidak seekor pun ayam atau burung datang mengganggu"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,Padahal rumput yang diberinya tidak sebanyak yang diberikan sebelumnya
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,ad,"Dalam hubungan ini seluruh pegawai istana berbisik-bisik, bahwa budak baru itu mempunyai batu ajaib yang sewaktu-waktu dijilatlkannya pada kuda-kuda istana"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,"Pada suatu malam, sedang Raja margolang, Permaisuri dan Sipakpak Kunal dan isterinya santap, kedengaran Nagai Sori berdendang sambil bekerja dikandang-kandang"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,yi,Nyanyiannya diiringi irama ketolan-ketokan kayu pada dinding kandang
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,yi,Jelas kedengaran di istana apa yang dinyanyikannya
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,"""Sipakpak Kunal ada di istana"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Nagai Sori,Nagai Sori ada dikandang
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,yi,"""
Nyanyian ini berlangsung berulang-ulang"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Nagai Sori palsu,Akhirnya Nagai Sori palsu alias Sipakpak Kunal menghardik dengan keras
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,yi,"""Hentikan nyanyian itu, kalau tidak, kau kugantung!""
Peristiwa - peristiwa aneh yang berhubungan dengan suaminya serta budak suaminya sangat menarik perhatian puteri"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Nagai Sori,Pada suatu hari Nagai Sori asyik bermain suling di sebuah pondok sambil menjaga padi dan kuda-kuda di istana
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,"Karena hari itu Sipakpak Kunal sedanf pergi berburu, puteri iseng-iseng berjalan-jalan ke arah pondok itu"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,yi,Dengan penuh perhatian didengarkannya alunan bunyi merdu yang keluar dari pondok itu
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Ngai Sori,"Ketika ""budak"" itu selesai memainkan sulimngnya, puteri menghambur ke dalam pondok itu dan memeluk Ngai Sori"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Nagai Sori,"Dengan air mata berlinangan sehingga membasahi pipi Nagai Sori, puteri berkata dengan terharu"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Permaisuri Haroharo,"""Kaulah yang sebenarnya putera bibiku, Permaisuri Haroharo!""
Nagai Sori yang sangat terperanjat dipeluk puteri dengan cara yang begitu mesra, tidak dapat berbuat lain daripada mengaku"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Nagai Sori,"""Ya, memang akulah Nagai Sori, tunanganmu yang sebenarnya"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,"Tapi aku sudah bersumpah tidak akan membukakan rahasia Sipakpak Kunal, budakku itu"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Raja,"!""
Lalu diceritakannya apa yang terjadi di perahu menjelang rombongannya tiba di Pulau Raja"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,"!""
Seperti sudah diceritakan, anggota-anggota rombongan Nagai Sori yang dilenparkan Sipakpak Kunal ke dalam air semunay selamat sampai di darat"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Haroharo,"Beberapa orang kembali ke Haroharo, sedang sebagian tinggal di Simelungun"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Raja,Ada pula yang meneruskan perjalanannya ke pUklau Raja
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,"Pada kesempatan yang baik mereka membisikkab kepada beberapa menteri kerajaan, bahwa menantu Raja Margolang itu tidak lain dari Sipakpak Kunal, budak Nagai Sori, yang khianat"
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,Bisikan ini sampai juga ketelinga Sipakpak Kunal
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Raja,Atas nama Raja diperintahkannya untuk menangkap dan memotong kepala semua mereka yang menyebarkan bisikan -bisikan berbisa itu
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,Sipakpak Kunal,"Sesudah Raja Margolang meninggal, Sipakpak Kunal mengangkat dirinya menjadi Raja"
